name;rating;categories;benefits;description
1, 2-Hexanediol;Good;Preservative, Humectant;;A synthetic preservative and moisture-binding agent belonging to a class of agents known as higher molecular glycols. It is considered non-sensitizing.
10-Hydroxydecanoic Acid;Good;Emollient, Occlusive/Opacifying Agent;Hydration;A synthetic ingredient that functions as a skin-conditioning and occlusive agent.
4-T-Butylcyclohexanol;Good;Emollient;Hydration;A synthetic fatty alcohol that functions as an emollient and soothing agent. It can reduce skin surface stinging on contact and also has the ability to reduce visible redness on skin.
Acacia Farnesiana Extract;Worst;Fragrance: Synthetic and Natural, Plant Extracts;;A fragrant extract from a type of acacia tree. There is no research showing it to have any benefit for skin.
Acacia Senegal Gum;Good;Texture Enhancer, Emulsifier;Soothing;"Acacia senegal gum is an herb used in various capacities to enhance the smooth feel or adhesion of a skin care formula; it also functions as a thickening agent, emulsifier, or stabilizer. Research shows it can deliver skin-soothing properties."
Acai;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;Acai (pronounced “ah-sigh-ee”) is a small berry with a deep purple color. It is a potent source of antioxidants, including ferulic acid and epicatechin. According to in vitro research, acai has higher antioxidant content than cranberry, raspberry, blackberry, strawberry, or blueberry, but that doesn’t necessarily mean it is the best antioxidant - just one of many to choose from when it comes to your skin care products. Consumed orally via supplement, juice, or as a whole food, acai has been shown to exert potent antioxidant benefits and reduce the cascade of damage caused by the overproduction of free radicals.
Acetic Acid;Worst;Irritant, pH Adjuster/Stabilizer;;Acid found in vinegar, some fruits, and human sweat. It can be sensitizing to skin, though it also has disinfecting properties.
Acetone;Worst;Irritant, Solvent;;Strong solvent that is used in nail polish removers.
Acetylated Castor Oil;Good;Texture Enhancer, Emollient, Occlusive/Opacifying Agent;Hydration;Used as an emollient and thickening agent in cosmetics.
Acetylated Hydrogenated Cottonseed Glyceride;Good;Texture Enhancer, Occlusive/Opacifying Agent;Hydration;Used as an emollient and thickening agent in cosmetics.
Acetylated Lanolin;Good;Emollient, Occlusive/Opacifying Agent;Hydration;Emollient derived from lanolin.
Acetylated Lanolin Alcohol;Good;Emollient, Occlusive/Opacifying Agent;Hydration;An ester of lanolin alcohol uses as an emollient and occlusive agent. An ester is a compound formed from an alcohol and an acid with the elimination of water, and are common among cosmetic ingredients.
Acetylated Palm Kernel Glycerides;Good;Emollient, Texture Enhancer;Hydration;Used as an emollient and thickening agent in cosmetics.
Acetyl Carnitine HCL;Best;Antioxidant;Hydration;
