prohibited_ingredient_list_final
Name;Name;Product type, body parts;Maximum Threshold
Trioxysalen;Trioxysalen;Sun protection products and bronzing products;1 mg/kg
Furocoumarines;Furocoumarines;Sun protection products and bronzing products;1 mg/kg
8-Methoxypsoralen;8-Methoxypsoralen;Sun protection products and bronzing products;1 mg/kg
5-Methoxypsoralen;5-Methoxypsoralen;Sun protection products and bronzing products;1 mg/kg
Safrole;Safrole;Products for dental and oral hygiene;50 ppm
2-Chlorobenzene-1,4-diamine;2-Chlorobenzene-1,4-diamine;Hair dye products, including eyebrow dye products, and eyelash dye products;0%
2-Chloro-1,4-phenylenediamine sulphate (1:1);2-Chloro-1,4-phenylenediamine sulphate (1:1);Hair dye products, including eyebrow dye products, and eyelash dye products;0%
2-Chloro-1,4-benzenediamine dihydrochloride;2-Chloro-1,4-benzenediamine dihydrochloride;Hair dye products, including eyebrow dye products, and eyelash dye products;0%
Xanthylium, 9-(2-carboxyphenyl)-3-((2-methylphenyl)amino)-6-((2-methyl-4-sulfophenyl)amino)-, inner salt;Xanthylium, 9-(2-carboxyphenyl)-3-((2-methylphenyl)amino)-6-((2-methyl-4-sulfophenyl)amino)-, inner salt;Hair dye products;0%
Xanthylium, 9-(2-carboxyphenyl)-3-((2-methylphenyl)amino)-6-((2-methyl-4-sulfophenyl)amino)-, hydroxide, inner salt, monosodium salt;Xanthylium, 9-(2-carboxyphenyl)-3-((2-methylphenyl)amino)-6-((2-methyl-4-sulfophenyl)amino)-, hydroxide, inner salt, monosodium salt;Hair dye products;0%
Trisodium tris[5,6-dihydro-5-(hydroxyimino)-6-oxonaphthalene-2-sulphonato(2-)-N5,O6]ferrate(3-);Trisodium tris[5,6-dihydro-5-(hydroxyimino)-6-oxonaphthalene-2-sulphonato(2-)-N5,O6]ferrate(3-);Hair dye products;0%
Trisodium 8-hydroxypyrene-1,3,6-trisulphonate;Trisodium 8-hydroxypyrene-1,3,6-trisulphonate;Hair dye products;0%
Trisodium 3-hydroxy-4-(4-sulphonatonaphthylazo)naphthalene-2,7-disulphonate;Trisodium 3-hydroxy-4-(4-sulphonatonaphthylazo)naphthalene-2,7-disulphonate;Hair dye products;0%
Toluene-3,4-Diamine;Toluene-3,4-Diamine;Hair dye products;0%
Tetrasodium 6-amino-4-hydroxy-3-[[7-sulphonato-4-[(4-sulphonatophenyl)azo]-1-naphthyl]azo]naphthalene-2,7-disulphonate;Tetrasodium 6-amino-4-hydroxy-3-[[7-sulphonato-4-[(4-sulphonatophenyl)azo]-1-naphthyl]azo]naphthalene-2,7-disulphonate;Hair dye products;0%
Solvent Red 1;Solvent Red 1;Hair dye products;0%
Salts of toluene-3,4-Diamine;Salts of toluene-3,4-Diamine;Hair dye products;0%
Salts of the reaction products of ethanol, 2,2'-iminobis- with epichlorohydrin and 2-nitro-1,4-benzenediamine;"Salts of the reaction products of ethanol, 2,2&#39;-iminobis- with epichlorohydrin and 2-nitro-1,4-benzenediamine";Hair dye products;0%
Salts of phenoxazin-5-ium, 3,7-bis(diethylamino)-;Salts of phenoxazin-5-ium, 3,7-bis(diethylamino)-;Hair dye products;0%
Salts of phenothiazin-5-ium, 3,7-bis(dimethylamino)-;Salts of phenothiazin-5-ium, 3,7-bis(dimethylamino)-;Hair dye products;0%
Salts of phenazinium, 3,7-diamino-2,8-dimethyl-5-phenyl-;Salts of phenazinium, 3,7-diamino-2,8-dimethyl-5-phenyl-;Hair dye products;0%
Salts of N1-(tris(hydroxymethyl))methyl-4-nitro-1,2-phenylenediamine;Salts of N1-(tris(hydroxymethyl))methyl-4-nitro-1,2-phenylenediamine;Hair dye products;0%
Salts of N1-(2-hydroxyethyl)-4-nitro-o-phenylenediamine;Salts of N1-(2-hydroxyethyl)-4-nitro-o-phenylenediamine;Hair dye products;0%
Salts of N-methyl-3-nitro-p-phenylenediamine;Salts of N-methyl-3-nitro-p-phenylenediamine;Hair dye products;0%
Salts of N-methyl-1,4-diaminoanthraquinone, reaction products with epichlorohydrin and monoethanolamine;Salts of N-methyl-1,4-diaminoanthraquinone, reaction products with epichlorohydrin and monoethanolamine;Hair dye products;0%
Salts of N-[6-[(2-chloro-4-hydroxyphenyl)imino]-4-methoxy-3-oxo-1,4-cyclohexadien-1-yl]acetamide;Salts of N-[6-[(2-chloro-4-hydroxyphenyl)imino]-4-methoxy-3-oxo-1,4-cyclohexadien-1-yl]acetamide;Hair dye products;0%
Salts of N-(5-chloro-2,4-dimethoxyphenyl)-4-[[5-[(diethylamino)sul-phonyl]-2-methoxyphenyl]azo]-3-hydroxynaphthalene-2-carbo-xamide;Salts of N-(5-chloro-2,4-dimethoxyphenyl)-4-[[5-[(diethylamino)sul-phonyl]-2-methoxyphenyl]azo]-3-hydroxynaphthalene-2-carbo-xamide;Hair dye products;0%
